nom_joueur,poste,minutes_jouees,distance_totale,vitesse_moyenne,vitesse_max,sprints,accelerations,decelerations,passes,tirs,buts,assists,interceptions,duels,recuperations,performance_score,fatigue_risk
Julien Diallo,Attaquant,60,6.61,6.31,21.83,6,12,16,59,6,3,1,0,13,11,99.9,Faible
Karim Diallo,Défenseur,90,6.69,10.67,29.8,30,38,37,65,2,0,0,5,18,1,91.4,Eleve
Rayan Fernandez,Milieu,60,7.72,10.67,31.64,6,14,29,29,0,0,2,4,10,9,73.8,Modere
Amara Ahmed,Attaquant,60,4.08,6.86,16.95,9,6,29,38,6,0,2,0,7,0,78.7,Faible
Amara Girard,Milieu,45,2.08,5.36,15.57,2,16,4,17,2,0,1,3,12,0,49.8,Faible
Lucas Costa,Gardien,90,9.55,9.86,21.02,15,30,9,8,1,0,0,3,12,5,65.7,Modere
Sami Bernard,Milieu,45,2.2,7.14,24.7,1,2,12,15,6,1,0,7,7,6,55.9,Faible
Liam Byrne,Milieu,45,2.33,11.99,27.01,1,18,5,14,7,1,1,0,15,12,54.0,Faible
Owen Haddad,Milieu,60,5.84,8.56,27.38,20,11,11,48,0,0,0,7,26,1,73.6,Modere
Yanis Ahmed,Milieu,45,5.66,11.9,33.0,11,15,17,26,5,1,1,8,15,0,70.2,Modere
Théo Silva,Attaquant,90,7.99,10.5,26.72,30,25,42,69,3,2,2,0,9,4,100,Eleve
Marco Fontaine,Défenseur,60,7.01,10.25,25.13,18,9,25,20,2,0,0,0,26,9,63.1,Modere
Sami Diallo,Défenseur,60,6.03,5.19,18.72,9,10,25,25,1,0,0,0,30,10,56.8,Faible
Amara Haddad,Gardien,45,5.51,9.53,26.04,9,21,20,19,0,0,0,2,8,5,59.2,Modere
Amara Bianchi,Milieu,60,6.67,6.0,26.39,9,28,18,43,3,0,2,7,21,12,83.4,Modere
Owen Silva,Milieu,45,4.75,9.12,26.66,3,5,8,38,5,1,1,0,19,0,73.9,Faible
Amara Rossi,Gardien,70,4.38,6.55,22.44,20,23,19,15,0,0,0,0,11,11,53.2,Modere
Owen Touré,Milieu,90,11.73,10.07,31.09,26,35,9,25,2,0,1,3,12,10,85.4,Eleve
Théo Haddad,Attaquant,90,11.85,5.11,16.37,10,18,11,59,1,0,0,1,25,0,85.7,Modere
Karim Murphy,Défenseur,60,2.68,11.84,23.25,6,26,8,57,2,0,0,4,8,12,61.7,Faible
Marco Silva,Attaquant,60,6.99,11.94,26.77,14,6,12,38,2,0,2,0,28,2,80.1,Modere
Bilal Girard,Milieu,90,10.34,11.57,27.96,17,30,7,47,0,0,1,4,10,4,88.2,Modere
Rayan Fernandez,Milieu,70,3.98,8.13,21.36,23,7,35,23,7,1,1,4,28,10,75.2,Eleve
Yanis Costa,Attaquant,60,5.94,7.74,18.36,8,17,4,30,6,2,1,0,23,6,86.8,Faible
Gabriel Byrne,Milieu,90,11.41,10.93,28.15,14,39,35,69,1,0,0,9,29,9,88.6,Eleve
Liam Silva,Défenseur,45,5.51,8.22,18.54,7,19,10,13,1,0,0,6,26,0,51.7,Faible
Liam Walsh,Défenseur,45,3.64,7.11,17.81,9,19,8,7,2,0,0,3,23,6,51.3,Faible
Ivan Rossi,Gardien,90,8.59,6.74,27.68,24,44,36,7,0,0,0,0,5,12,55.4,Eleve
Maël Bernard,Attaquant,45,2.7,8.57,20.1,14,2,18,6,1,0,2,3,24,2,60.5,Modere
Gabriel Lefevre,Gardien,60,2.94,7.66,29.37,4,14,14,11,0,0,0,3,29,7,41.7,Faible
Maël Girard,Milieu,60,6.02,5.79,24.18,20,22,22,57,2,0,0,4,7,11,71.2,Eleve
Gabriel Bianchi,Gardien,90,7.51,9.49,29.83,4,39,42,23,0,0,0,1,11,2,57.3,Eleve
Noah Byrne,Gardien,60,7.88,6.16,26.18,6,25,11,8,0,0,0,2,28,7,58.7,Faible
Enzo Girard,Défenseur,60,5.95,5.39,18.92,8,19,16,48,2,0,0,8,11,7,76.7,Modere
Mateo Diallo,Défenseur,60,4.96,10.58,29.07,20,14,16,6,0,0,0,1,14,5,48.3,Modere
Owen Haddad,Gardien,70,8.33,8.73,22.68,20,5,4,19,2,0,0,2,27,8,67.1,Modere
Bilal Byrne,Attaquant,45,2.83,6.67,26.27,6,16,3,21,0,0,2,1,19,8,55.3,Faible
Ivan Touré,Gardien,45,5.68,5.11,15.86,10,13,11,13,1,0,0,3,7,5,58.3,Faible
Amara Girard,Milieu,60,6.71,5.35,17.41,7,27,4,60,2,0,2,1,22,10,73.7,Faible
Karim Rossi,Défenseur,60,7.37,10.53,22.68,11,30,12,24,2,0,0,6,25,9,67.5,Faible
Sami Bianchi,Défenseur,70,3.99,8.23,21.42,19,28,3,40,2,0,0,4,24,8,73.7,Faible
Rayan Nkomo,Défenseur,90,9.99,10.42,29.48,7,39,22,51,1,0,0,1,21,12,79.2,Modere
Karim Girard,Défenseur,90,4.65,7.6,27.1,2,31,42,46,0,0,0,6,25,6,53.0,Modere
Owen Bianchi,Milieu,60,3.06,9.28,30.21,6,12,4,48,4,0,1,7,19,6,75.0,Faible
Mateo Byrne,Gardien,45,4.15,7.16,26.71,12,11,4,21,1,0,0,0,12,10,57.6,Faible
Sami Silva,Défenseur,90,11.55,5.73,18.98,28,42,28,45,2,0,0,6,29,1,85.1,Eleve
Owen Ahmed,Gardien,45,5.68,6.02,24.3,12,14,15,14,0,0,0,1,9,0,56.1,Modere
Rayan Murphy,Milieu,70,8.23,5.15,17.04,10,35,26,68,7,1,2,1,20,6,94.7,Modere
Maël Bianchi,Gardien,45,3.96,8.21,28.64,11,13,12,20,1,0,0,3,18,0,54.4,Faible
Ivan Fernandez,Milieu,90,7.91,8.78,27.46,18,26,17,18,6,1,0,4,29,4,83.4,Modere
Bilal Fernandez,Défenseur,60,4.84,6.95,26.8,4,3,6,54,0,0,0,7,10,2,64.6,Faible
Gabriel Murphy,Défenseur,45,3.25,5.3,25.08,8,18,13,24,1,0,0,7,23,1,66.3,Faible
Liam Martins,Milieu,60,6.61,11.99,24.28,10,6,23,30,5,1,0,4,11,5,75.6,Modere
Rayan Touré,Gardien,90,5.51,7.83,27.1,27,24,35,7,1,0,0,3,11,2,59.8,Eleve
Maël Martins,Milieu,90,7.83,6.58,25.32,10,21,5,47,3,0,0,9,29,6,79.8,Faible
Maël Girard,Attaquant,70,8.27,6.38,23.3,23,28,14,58,1,0,2,2,27,9,98.3,Modere
Julien Silva,Attaquant,70,8.98,7.68,19.71,17,27,7,21,5,1,0,2,25,2,74.7,Modere
Noah Walsh,Milieu,90,11.24,9.37,31.36,19,20,27,88,0,0,0,7,30,1,100,Eleve
Gabriel Ahmed,Gardien,70,7.72,7.13,17.37,10,7,35,21,0,0,0,0,5,10,56.5,Modere
Bilal Lefevre,Défenseur,70,5.91,6.25,18.28,22,17,29,60,2,0,0,3,6,12,80.2,Eleve
Bilal Girard,Attaquant,60,3.84,8.52,21.73,1,17,28,6,6,0,2,1,9,12,51.4,Faible
Owen Petit,Milieu,70,4.87,6.88,24.82,3,33,31,38,5,1,2,10,11,11,78.8,Modere
Mateo Bianchi,Gardien,45,5.03,6.36,21.24,11,8,20,19,0,0,0,0,25,3,49.2,Modere
Théo Ahmed,Attaquant,70,6.19,10.33,20.96,19,9,31,28,7,3,0,1,15,3,85.0,Modere
Yanis Fontaine,Gardien,70,7.41,8.18,26.91,13,13,4,21,0,0,0,0,22,6,65.1,Faible
Karim Petrov,Gardien,70,8.22,7.29,23.21,7,24,35,22,0,0,0,2,11,1,62.2,Modere
Sami Fontaine,Milieu,90,4.71,9.8,21.43,12,11,25,29,1,0,1,10,15,7,62.2,Modere
Lucas Fernandez,Gardien,45,3.45,9.74,28.28,9,18,13,22,2,0,0,1,21,3,54.8,Faible
Gabriel Girard,Gardien,45,4.41,6.57,17.6,6,18,3,17,0,0,0,0,17,9,45.5,Faible
Maël Fontaine,Défenseur,90,8.76,11.57,24.46,15,37,42,25,1,0,0,7,27,6,67.1,Eleve
Rayan Haddad,Milieu,90,6.51,9.94,24.96,24,29,7,33,6,1,2,8,12,7,95.3,Modere
Maël Lefevre,Défenseur,70,6.18,9.66,22.27,6,26,17,30,1,0,0,10,17,10,65.0,Faible
Maël Murphy,Gardien,45,4.24,5.64,25.59,14,10,9,8,1,0,0,1,6,5,49.3,Modere
Ivan Touré,Attaquant,70,4.46,5.72,23.73,13,4,26,57,4,2,2,1,25,11,93.0,Modere
Amara Diallo,Attaquant,60,7.39,11.64,29.86,8,18,30,34,6,2,0,3,14,12,75.4,Modere
Gabriel Murphy,Attaquant,60,2.98,10.73,25.4,4,22,28,46,3,3,1,3,17,6,78.6,Faible
Diego Girard,Gardien,60,3.04,6.91,23.72,3,27,24,13,0,0,0,1,30,11,44.4,Faible
Owen Bernard,Gardien,60,3.39,7.51,25.21,1,4,14,19,0,0,0,2,25,11,45.1,Faible
Ivan Rossi,Gardien,70,8.97,11.79,25.43,16,28,16,14,0,0,0,1,16,2,66.0,Modere
Amara Lefevre,Milieu,90,6.51,7.44,25.74,30,7,23,70,0,0,2,7,18,1,96.2,Eleve
Owen Bianchi,Gardien,45,3.59,11.69,23.3,7,8,11,23,0,0,0,0,26,7,48.7,Faible
Lucas Lefevre,Gardien,70,5.21,6.85,24.93,4,31,35,13,2,0,0,2,9,2,50.7,Modere
Gabriel Walsh,Milieu,70,3.64,11.2,26.46,21,5,17,27,4,0,0,8,7,12,63.2,Modere
Théo Girard,Milieu,70,5.51,11.5,22.71,18,24,12,14,0,0,1,8,8,0,66.7,Modere
Owen Petit,Gardien,90,6.93,5.26,19.48,7,44,36,25,2,0,0,3,16,7,56.5,Eleve
Ivan Petit,Attaquant,45,2.05,5.7,17.31,4,6,3,44,3,0,1,2,30,4,66.6,Faible
Karim Lefevre,Milieu,60,5.32,8.0,28.57,12,24,10,9,4,0,1,3,11,1,59.0,Faible
Karim Fontaine,Défenseur,60,3.67,7.79,28.05,2,6,10,13,0,0,0,10,6,11,44.2,Faible
Rayan Rossi,Attaquant,70,9.28,11.42,29.01,21,14,10,62,2,0,1,0,20,10,90.2,Modere
Gabriel Bernard,Défenseur,90,7.34,5.9,26.6,13,13,21,83,0,0,0,3,26,10,80.3,Modere
Amara Diallo,Attaquant,60,3.56,11.43,30.64,12,26,13,18,7,0,1,1,11,9,67.0,Faible
Owen Costa,Milieu,70,7.76,6.3,19.71,5,9,17,31,1,0,0,5,20,11,62.0,Faible
Noah Haddad,Défenseur,90,9.93,8.94,25.85,29,30,12,88,2,0,0,5,11,0,100,Modere
Karim Petit,Attaquant,45,5.12,7.87,23.71,3,20,22,25,4,0,0,2,18,7,59.4,Modere
